frekvencia;teljesitmeny;csatorna;adohely;cim;id
100,7;1;Gazdasági Rádió 100,7 ;Eger ;;286
100,7;0,1;Lajta Rádió ;Mosonmagyaróvár ;;287
100,8;79,4;Neo FM ;Budapest;Széchenyi-hegy ;288
100,9;0,25;Juventus Rádió Békéscsaba ;Békéscsaba ;;289
100,9;0,1;Villány Rádió ;Villány ;;290
101,1;1;Klassz Rádió  ;Debrecen;Pallag ;291
101,2;0,2;Mediterrán Rádió ;Pécs ;;292
101,2;2;MR6-A Régió Rádiója Debrecen ;Szolnok ;;293
101,3;0,1;Rádió 6 FM 101,3 ;Érd ;;294
101,3;1;Rádió Eger ;Eger;Almagyar-domb ;295
101,3;0,05;Juventus Rádió ;Fonyód ;;296
101,4;7,6;Klassz Rádió  ;Győr;Szabadhegy ;297
101,4;0,001;Helló Rádió ;Budapest;XIV. kerület ;298
101,5;3;Neo FM ;Sárszentlőrinc;Úzd ;299
101,6;21,9;Klassz Rádió  ;Komádi ;;300
101,6;0,5;MR1-Kossuth Rádió ;Sopron;Dalos-hegy ;301
101,7;2;MR6-A Régió Rádiója-Pécs ;Pécs;Misina-tető ;302
101,7;0,05;DióRádió ;Gyöngyös;Sár-hegy ;303
101,7;0,003;Rádió Kistarcsa ;Kistarcsa ;;304
101,8;1;Rádió 1 ;Székesfehérvár;Sóstó ;305
101,8;0,1;Yo! Rádió ;Tapolca ;;306
101,8;0,1;Rádió Express 101,8 ;Tokaj;Nagy-kopasz ;307
101,8;0,003;Zöld hullám Rádió ;Piliscsaba ;;308
101,8;0,002;Taks Rádió ;Taksony ;;309
101,9;2;MR1-Kossuth Rádió ;Szeged ;;310
101,9;1;Tamási Rádió ;Tamási ;;311
101,9;0,16;Rádió 1 ;Eger ;;312
102;22,4;Klassz Rádió  ;Sopron;Dalos-hegy ;313
102,1;0,74;102,1 Sztár Rádió ;Budapest;Széchenyi-hegy ;314
102,1;0,5;Európa Rádió Mezőkövesd ;Mezőkövesd ;;315
102,2;0,5;Aktív Rádió ;Tiszakécske ;;316
102,3;3,16;MR1-Kossuth Rádió ;Kab-hegy ;;317
102,3;1,4;MR6-A Régió Rádiója-Miskolc ;Miskolc;Avas ;318
102,4;;MR1-Kossuth Rádió ;Kunszentmiklós ;;319
102,5;0,48;Gold FM Tatabánya ;Tatabánya;Árpád Hotel ;320
102,6;0,3;MR1-Kossuth Rádió ;Nyíregyháza ;;321
102,6;0,5;N-Joy 102,6 Kaposvár ;Kaposvár ;;322
102,6;0,1;MR1-Kossuth Rádió ;Zalaegerszeg;Bazita ;323
102,7;30,2;MR2-Petőfi Rádió ;Kékes ;;324
102,7;0,95;Aqua Rádió Barcs ;Barcs ;;325
102,7;0,1;MR1-Kossuth Rádió ;Kiskunhalas ;;326
102,9;0,5;Rádió 24 ;Dunaújváros ;;327
102,9;0,002;FeZen Rádió ;Székesfehérvár ;;328
103;38,9;Neo FM ;Komádi ;;329
103;1;Sztár FM ;Miskolc;Avas ;330
103,1;0,1;OXYGEN FM;Győr;Erzsébetliget ;331
103,2;0,3;Európa Rádió Kisújszállás ;Kisújszállás ;;332
103,3;81,3;Klassz Rádió  ;Budapest;Széchenyi-hegy ;333
103,5;50,1;Klassz Rádió  ;Tokaj;Nagy-kopasz ;334
103,6;5;MR1-Kossuth Rádió ;Vasvár;Hegyhátsál ;335
103,7;49,5;MR2-Petőfi Rádió ;Pécs;Misina-tető ;336
103,8;5;MR1-Kossuth Rádió ;Miskolc;Avas ;337
103,8;0,05;MR1-Kossuth Rádió ;Letenye ;;338
103,9;5;Rádió 1 ;Budapest;Gellért-hegy ;339
103,9;1;Retro FM ;Nyíregyháza ;;340
104;1;Csaba Rádió ;Békéscsaba ;;341
104,2;0,05;Mária Rádió ;Piliscsaba ;;342
104,6;5,1;MR2-Petőfi Rádió ;Szeged ;;343
104,6;5;MR1-Kossuth Rádió ;Pécs;Misina-tető ;344
104,6;0,8;  ;Debrecen ;;345
104,6;0,6;Corvinus Rádió ;Sopron;Dalos-hegy ;346
104,7;26,9;Klassz Rádió  ;Kékes ;;347
104,7;20,4;MR3-Bartók Rádió ;Nagykanizsa;Újudvar, Tukora ;348
104,8;0,3;Budaörs Rádió ;Budaörs ;;349
104,9;1;MR1-Kossuth Rádió ;Kecskemét ;;350
104,9;0,81;Mária Rádió ;Dömös ;;351
105;69,5;MR3-Bartók Rádió ;Kab-hegy ;;352
105;0,05;MR1-Kossuth Rádió ;Ózd ;;353
105,1;30;MR3-Bartók Rádió ;Komádi ;;354
105,1;0,78;Rádió Antritt ;Szekszárd ;;355
105,2;5,2;MR1-Kossuth Rádió ;Rábaszentandrás ;;356
105,3;81,3;MR3-Bartók Rádió ;Budapest;Széchenyi-hegy ;357
105,4;0,05;MR1-Kossuth Rádió ;Battonya ;;358
105,4;0,003;Rádió X ;Hódmezővásárhely ;;359
105,4;0,003;Rádió Szarvas ;Szarvas ;;360
105,5;50,1;Klassz Rádió  ;Pécs;Misina-tető ;361
105,5;50;MR3-Bartók Rádió ;Tokaj;Nagy-kopasz ;362
105,6;10;MR1-Kossuth Rádió ;Gerecse ;;363
105,7;2,2;MR3-Bartók Rádió ;Szeged ;;364
105,9;5;MR1-Kossuth Rádió ;Fehérgyarmat;Penyige ;365
105,9;3,2;Gazdasági Rádió ;Budapest;Gellért-hegy ;366
105,9;3;MR3-Bartók Rádió ;Csengőd;Kiskőrös ;367
106;0,74;Rádió Max ;Debrecen ;;368
106,1;0,1;Rádió Szentes ;Szentes ;;369
106,3;0,2;Part Rádió ;Balatonalmádi ;;370
106,3;0,1;Mária Rádió ;Monor ;;371
106,4;1;MR1-Kossuth Rádió ;Győr;Szabadhegy ;372
106,4;0,05;MR1-Kossuth Rádió ;Tiszakécske ;;373
106,5;1;Alisca Rádió ;Dunaföldvár ;;374
106,5;1;Gold FM Miskolc;Miskolc;Avas ;375
106,6;1;MR3-Bartók Rádió ;Debrecen;Pallag ;376
106,6;0,1;Rádió Szentgotthárd;Szentgotthárd;Zsida-hegy ;377
106,7;5;MR1-Kossuth Rádió ;Nagykanizsa;Újudvar, Tukora ;378
106,8;7,4;MR3-Bartók Rádió ;Győr;Szabadhegy ;379
106,9;3;MR3-Bartók Rádió ;Sárszentlőrinc;Úzd ;380
106,9;3;MR3-Bartók Rádió ;Vasvár;Hegyhátsál ;381
106,9;1;DióRádió FM 106.9 ;Eger ;;382
107;0,275;Kék Duna Rádió Győr ;Tatabánya;Kő-hegy ;383
107;0,8;Rádió 7 Kistelek ;Kistelek ;;384
107;0,5;Lakihegy Rádió ;Szigetszentmiklós ;;385
107,2;70,8;Neo FM ;Kab-hegy ;;386
107,3;34,7;MR3-Bartók Rádió ;Szentes ;;387
107,3;0,01;Cool FM ;Budapest;Gyáli út ;388
107,3;0,005;Tavirózsa Rádió ;Veresegyház ;;389
107,4;0,5;  ;Szombathely ;;390
107,4;0,31;  ;Nyíregyháza ;;391
107,4;0,001;Gorba Rádió ;Tardos ;;392
107,5;1,4;MR3-Bartók Rádió ;Miskolc;Avas ;393
107,5;1;Alisca Rádió ;Paks ;;394
107,6;10;MR3-Bartók Rádió ;Pécs;Misina-tető ;395
107,8;83,2;MR1-Kossuth Rádió ;Budapest;Széchenyi-hegy ;396
107,9;6,9;MR3-Bartók Rádió ;Sopron;Dalos-hegy;397
